matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts
cage15.sorted	5154859	1092607.23	544916.24	199621.23	36.63
circuit5M.sorted	5558326	2793149.88	1396540.21	1735349.08	124.26
bone010.sorted	986703	17931.37	8371.88	5.72	0.07
ldoor.sorted	952203	194446.25	93855.24	56206.47	59.89
rajat31.sorted	4690002	4557.09	2273.56	1329.64	58.48
TSOPF_RS_b2383.sorted	38120	18422.08	5727.54	2359.15	41.19
Ga41As41H72.sorted	268096	46185.57	23086.87	4.36	0.02
wikipedia-20051105.sorted	1634989	555995.14	260628.84	241661.05	92.72
eu-2005.sorted	862664	214717.96	104712.35	5734.23	5.48
PR02R.sorted	161070	6376.07	2808.53	15.23	0.54
Si41Ge41H72.sorted	185639	35928.15	17961.71	17.4	0.1
in-2004.sorted	1382908	29733.21	14553.79	563.55	3.87
Chebyshev4.sorted	68121	3089.79	1541.01	1.37	0.09
rail4284.real	1096894	1048128.07	522601.72	134369.58	25.71
pwtk.sorted	217918	12927.05	6328.08	6548.99	103.49
crankseg_2.sorted	63838	55268.93	27593.75	4988.14	18.08
TSOPF_RS_b300_c3.sorted	42138	25564.97	7763.93	3546.3	45.68
shipsec1.sorted	140874	6462.67	3078.1	217.19	7.06
consph.sorted	83334	5817.66	2871.96	57.06	1.99
webbase-1M.sorted	1000005	152463.66	75548.08	98955.07	130.98
mip1.sorted	66463	39232.11	18731.99	17884.91	95.48
rma10.sorted	46835	8794.27	4317.04	2814.51	65.2
cant.sorted	62451	537.33	266.74	2.29	0.86
conf5_4-8x8-15.real	49152	12027.03	6013.02	0.71	0.01
pdb1HYS.sorted	36417	4731.94	2352.38	3.15	0.13
bbmat.sorted	38744	1158.22	578.14	7.36	1.27
raefsky3.sorted	21200	1403.45	684.78	0.65	0.1
mc2depi.real	525825	705.75	236.1	332.49	140.83
mac_econ_fwd500.sorted	206500	393.99	154.52	1.01	0.65
scircuit.sorted	170998	50829.59	21303.35	10969.92	51.49
cop20k_A.sorted	121192	75509.28	36308.81	23315.07	64.21
