matrix_name	nr_cols	bw_total	avg-parts	std-parts	varcoeff-parts
cage15.sorted	5154859	1092607.23	25.0	16.73	66.94
circuit5M.sorted	5558326	2793149.88	25.0	30.67	122.71
bone010.sorted	986703	17931.37	25.0	11.32	45.27
ldoor.sorted	952203	194446.25	25.0	17.49	69.96
rajat31.sorted	4690002	4557.09	24.99	14.2	56.81
TSOPF_RS_b2383.sorted	38120	18422.08	25.0	20.87	83.46
Ga41As41H72.sorted	268096	46185.57	25.0	12.18	48.71
wikipedia-20051105.sorted	1634989	555995.14	12.95	12.45	96.13
eu-2005.sorted	862664	214717.96	21.43	12.5	58.33
PR02R.sorted	161070	6376.07	24.94	8.48	34.0
Si41Ge41H72.sorted	185639	35928.15	25.0	11.32	45.3
in-2004.sorted	1382908	29733.21	17.56	10.16	57.85
Chebyshev4.sorted	68121	3089.79	25.0	1.97	7.89
rail4284.real	1096894	1048128.07	25.0	9.71	38.83
pwtk.sorted	217918	12927.05	25.0	11.01	44.05
crankseg_2.sorted	63838	55268.93	25.0	5.15	20.61
TSOPF_RS_b300_c3.sorted	42138	25564.97	25.0	22.84	91.37
shipsec1.sorted	140874	6462.67	25.0	8.21	32.85
consph.sorted	83334	5817.66	23.9	11.38	47.63
webbase-1M.sorted	1000005	152463.66	24.85	26.21	105.45
mip1.sorted	66463	39232.11	25.0	32.55	130.21
rma10.sorted	46835	8794.27	25.0	19.32	77.28
cant.sorted	62451	537.33	24.9	10.25	41.17
conf5_4-8x8-15.real	49152	12027.03	25.0	21.39	85.55
pdb1HYS.sorted	36417	4731.94	25.0	16.97	67.86
bbmat.sorted	38744	1158.22	25.0	16.77	67.09
raefsky3.sorted	21200	1403.45	25.0	10.63	42.51
mc2depi.real	525825	705.75	25.0	0.1	0.39
mac_econ_fwd500.sorted	206500	393.99	25.0	13.16	52.63
scircuit.sorted	170998	50829.59	24.99	14.62	58.49
cop20k_A.sorted	121192	75509.28	20.6	13.69	66.45
