cage15.sorted	5154859	1092607.234342588	403762.7132187321	686069.7676495129
circuit5M.sorted	5558326	2793149.8803168437	169463.10708529872	2623617.3076912006
bone010.sorted	986703	17931.371403553047	8375.926266566536	8367.83586854403
ldoor.sorted	952203	194446.24546131445	133599.21555592664	54111.263318851124
rajat31.sorted	4690002	4557.086543033457	3213.7583557533662	1333.3668354512429
TSOPF_RS_b2383.sorted	38120	18422.078646379854	4059.368441762854	7395.715162644281
Ga41As41H72.sorted	268096	46185.56930353306	23083.781044849606	23089.953117539986
wikipedia-20051105.sorted	1634989	555995.1358706389	89748.67402349495	431509.01538114325
eu-2005.sorted	862664	214717.95645813434	108767.06016479185	100657.63575969324
PR02R.sorted	161070	6376.070044080214	2819.2996461165953	2797.767523437015
Si41Ge41H72.sorted	185639	35928.14900963698	17974.018729900505	17949.41004853506
in-2004.sorted	1382908	29733.208270542942	14952.279720704486	14155.294041252202
Chebyshev4.sorted	68121	3089.793103448276	1540.0439805639965	1541.9756022371955
rail4284.real	1096894	1048128.0728291316	617615.3653127918	427588.0795985061
pwtk.sorted	217918	12927.048720160794	10958.913311429069	1697.2399159316808
crankseg_2.sorted	63838	55268.92969704565	24066.608540367804	31120.897772486605
TSOPF_RS_b300_c3.sorted	42138	25564.968959134272	5256.314870188428	10271.538729887512
shipsec1.sorted	140874	6462.671536266451	2924.5297499893522	3231.6789471442567
consph.sorted	83334	5817.65803873569	2912.312609499124	2831.6151510787913
webbase-1M.sorted	1000005	152463.6624206879	145519.8806145969	5576.277800610997
mip1.sorted	66463	39232.10559258535	31378.537727758303	6085.44849013737
rma10.sorted	46835	8794.267171986761	6307.1980783602	2326.8784883100247
cant.sorted	62451	537.3345022497638	265.1227202126467	268.36327680901826
conf5_4-8x8-15.real	49152	12027.03125	6012.515625	6013.515625
pdb1HYS.sorted	36417	4731.9413460746355	2350.1533349809156	2354.613339923662
bbmat.sorted	38744	1158.2192339459014	572.9343640305595	583.3368521577535
raefsky3.sorted	21200	1403.44679245283	684.3222641509434	685.2460377358491
mc2depi.real	525825	705.7462235534636	471.2084476774592	0.9941577521038368
mac_econ_fwd500.sorted	206500	393.99302179176755	153.80993704600485	155.2378062953995
scircuit.sorted	170998	50829.58826419023	29060.25876910841	13546.443753728114
cop20k_A.sorted	121192	75509.27906957555	52795.053823684735	19822.567256914648
